customer_id,name,lat,lon,base_demand,gvi_sensitivity,climate_sensitivity
1,Customer 1,4.616472671706719,-74.21965271592602,62,0.07310490148150156,0.07305359077299756
2,Customer 2,4.974227413758163,-73.99038867257961,23,-0.21601754205883078,0.14417836529272743
3,Customer 3,4.966546818776071,-74.03653553020742,67,0.22919676053038623,0.2807968978338711
4,Customer 4,4.822234586865634,-74.26703048843342,51,-0.2333497245848477,0.25794822275510304
5,Customer 5,4.540069081624652,-74.18674199813329,29,0.22246748870305227,0.3171604390899409
6,Customer 6,4.75414328688145,-73.77601462845831,58,-0.22541563563852252,-0.006829377997590896
7,Customer 7,4.713469706578313,-74.31333256823741,62,0.1852114358897809,-0.08372326793639244
8,Customer 8,4.687603142748375,-73.77368277283081,28,0.4656920846362412,-0.1923778506712211
9,Customer 9,4.465899840083465,-73.92383181681112,55,-0.040083365719537745,0.037634230723368134
10,Customer 10,4.634549919010743,-74.04537709503246,43,-0.22552962898041098,0.16390308313244573
11,Customer 11,4.819496153366794,-74.10651749266901,72,-0.011567916987180127,0.13991057874076385
12,Customer 12,4.902561350059625,-74.24222110311534,55,0.08204927413865393,0.3272897315398839
13,Customer 13,4.690352483760729,-73.947220207783,22,0.2509490460568173,0.2966669938385148
14,Customer 14,4.680433395673587,-73.88657418604272,41,-0.16362135264028851,0.09792117369747705
15,Customer 15,4.56801066227482,-73.9881858887841,59,-0.296434772648743,-0.12638538300465274
16,Customer 16,4.922972474668919,-74.0661246272813,49,0.45877408208412523,0.10034596108905824
