date,customer_id,demand
2024-01-01,1,78.7
2024-01-02,1,63.5
2024-01-03,1,66.9
2024-01-04,1,76.0
2024-01-05,1,82.7
2024-01-06,1,79.7
2024-01-07,1,59.1
2024-01-08,1,52.0
2024-01-09,1,67.5
2024-01-10,1,57.5
2024-01-11,1,73.4
2024-01-12,1,76.2
2024-01-13,1,63.9
2024-01-14,1,68.1
2024-01-15,1,73.0
2024-01-16,1,66.6
2024-01-17,1,56.1
2024-01-18,1,68.2
2024-01-19,1,80.1
2024-01-20,1,86.8
2024-01-21,1,74.0
2024-01-22,1,54.6
2024-01-23,1,60.1
2024-01-24,1,72.7
2024-01-25,1,45.7
2024-01-26,1,86.7
2024-01-27,1,65.2
2024-01-28,1,62.0
2024-01-29,1,83.8
2024-01-30,1,66.3
2024-01-31,1,63.7
2024-02-01,1,70.5
2024-02-02,1,75.9
2024-02-03,1,68.1
2024-02-04,1,71.0
2024-02-05,1,94.0
2024-02-06,1,78.9
2024-02-07,1,72.8
2024-02-08,1,70.8
2024-02-09,1,90.1
2024-02-10,1,87.7
2024-02-11,1,58.1
2024-02-12,1,74.8
2024-02-13,1,69.8
2024-02-14,1,90.1
2024-02-15,1,66.1
2024-02-16,1,98.1
2024-02-17,1,63.0
2024-02-18,1,73.8
2024-02-19,1,60.7
2024-02-20,1,58.6
2024-02-21,1,79.8
2024-02-22,1,57.5
2024-02-23,1,78.9
2024-02-24,1,70.2
2024-02-25,1,74.9
2024-02-26,1,73.9
2024-02-27,1,43.1
2024-02-28,1,79.1
2024-02-29,1,63.0
2024-03-01,1,109.8
2024-03-02,1,93.8
2024-03-03,1,82.5
2024-03-04,1,40.7
2024-03-05,1,93.3
2024-03-06,1,72.0
2024-03-07,1,54.3
2024-03-08,1,87.2
2024-03-09,1,101.9
2024-03-10,1,51.3
2024-03-11,1,84.8
2024-03-12,1,67.3
2024-03-13,1,64.4
2024-03-14,1,66.8
2024-03-15,1,71.0
2024-03-16,1,85.9
2024-03-17,1,75.4
2024-03-18,1,85.0
