customer_id,name,lat,lon,base_demand,gvi_sensitivity,climate_sensitivity
1,Customer 1,4.549872090891803,-74.3236130918186,37,0.4757406586349113,0.29527896423123606
2,Customer 2,4.788201952331576,-74.04813488970092,40,-0.010244066996386414,0.10160853883541615
3,Customer 3,4.82302461879933,-74.05650952546232,47,-0.12558490190458868,0.12187925974771235
4,Customer 4,4.841890115847594,-74.30147536725063,25,-0.2885667760068316,0.21927577329921194
5,Customer 5,4.612479371780009,-74.13817699639034,32,0.056451346085052145,0.21674576685588742
6,Customer 6,4.738127513859768,-73.88592827779807,42,0.24585462469866853,-0.0683159257513003
7,Customer 7,4.7128250168488695,-74.25036146044849,34,0.20986586811114566,0.35616084155019306
8,Customer 8,4.6927803848700265,-73.83971635254244,49,0.49093459730982564,-0.06519579018855826
9,Customer 9,4.634159414889649,-74.02561690527921,64,0.445000490757772,0.19490457340487338
10,Customer 10,4.526424416192311,-74.0075821378657,62,0.14688176054621555,0.017413036195312287
11,Customer 11,4.915475538679857,-74.13696437661724,80,-0.1895780745069791,-0.031099208345931162
12,Customer 12,4.799014690982752,-74.15026376484965,30,0.15051894163358726,0.3959355962783991
13,Customer 13,4.680345023223434,-73.88669333481509,64,0.5275374801897139,0.20771851194154067
14,Customer 14,4.6746723904701595,-73.8516074240117,20,0.4927702299711428,-0.029984420134409356
15,Customer 15,4.567212931606496,-73.98771773597574,20,0.3066680339757573,0.23631341349756957
16,Customer 16,4.898129509409541,-74.06682493507878,79,0.29301516579302894,0.25159062629214635
17,Customer 17,4.643505088689673,-73.88081085283459,46,0.44612890690109935,0.01772110400947499
18,Customer 18,4.8105055861559665,-74.1063355148639,51,0.31833456960729817,0.35989879849756806
19,Customer 19,4.825955746376582,-74.2764134098193,81,0.2617735658939288,0.38169107862648427
20,Customer 20,4.616219059448369,-74.09549288764673,60,0.061585431068461316,-0.0407465021458121
21,Customer 21,4.494745210190948,-74.05035021061951,68,0.05955608630766518,0.23841323082841115
22,Customer 22,4.805548214078352,-74.10944991198028,76,0.13770918412995697,-0.07885975674245757
23,Customer 23,4.536022140199253,-74.19970327396821,66,0.49355690905196886,-0.06894847009331243
24,Customer 24,4.9538599265179215,-74.17234090596025,73,0.2773741549368996,0.26358696151998096
