date,customer_id,demand
2024-01-01,1,48.7
2024-01-02,1,37.8
2024-01-03,1,41.8
2024-01-04,1,47.5
2024-01-05,1,48.4
2024-01-06,1,47.6
2024-01-07,1,36.9
2024-01-08,1,32.1
2024-01-09,1,41.0
2024-01-10,1,33.9
2024-01-11,1,47.3
2024-01-12,1,49.4
2024-01-13,1,39.3
2024-01-14,1,42.2
2024-01-15,1,46.1
2024-01-16,1,41.2
2024-01-17,1,36.1
2024-01-18,1,41.8
2024-01-19,1,51.0
2024-01-20,1,53.4
2024-01-21,1,46.3
2024-01-22,1,33.8
2024-01-23,1,38.5
2024-01-24,1,47.3
2024-01-25,1,29.4
2024-01-26,1,55.3
2024-01-27,1,41.2
2024-01-28,1,39.9
2024-01-29,1,54.5
2024-01-30,1,42.8
2024-01-31,1,43.5
2024-02-01,1,44.9
2024-02-02,1,48.4
2024-02-03,1,43.4
2024-02-04,1,46.2
2024-02-05,1,60.4
2024-02-06,1,50.6
2024-02-07,1,45.6
2024-02-08,1,44.0
2024-02-09,1,60.2
2024-02-10,1,58.9
2024-02-11,1,38.6
2024-02-12,1,47.6
2024-02-13,1,46.0
2024-02-14,1,58.5
2024-02-15,1,43.3
2024-02-16,1,63.6
2024-02-17,1,41.4
2024-02-18,1,48.4
2024-02-19,1,38.7
2024-02-20,1,38.3
2024-02-21,1,52.6
2024-02-22,1,36.8
2024-02-23,1,51.2
2024-02-24,1,45.3
2024-02-25,1,48.3
2024-02-26,1,47.8
2024-02-27,1,29.1
2024-02-28,1,49.8
2024-02-29,1,42.0
2024-03-01,1,68.3
2024-03-02,1,60.1
2024-03-03,1,55.0
2024-03-04,1,27.3
2024-03-05,1,60.8
2024-03-06,1,48.1
2024-03-07,1,35.9
2024-03-08,1,57.1
2024-03-09,1,68.9
2024-03-10,1,33.7
2024-03-11,1,53.4
2024-03-12,1,42.5
2024-03-13,1,41.7
2024-03-14,1,44.6
2024-03-15,1,47.5
2024-03-16,1,58.3
2024-03-17,1,48.8
2024-03-18,1,55.4
2024-03-19,1,59.9
2024-03-20,1,44.6
2024-03-21,1,57.0
2024-03-22,1,42.5
2024-03-23,1,60.5
2024-03-24,1,37.8
2024-03-25,1,41.2
2024-03-26,1,53.6
2024-03-27,1,40.7
2024-03-28,1,51.9
2024-03-29,1,41.5
2024-03-30,1,47.8
2024-03-31,1,52.7
2024-04-01,1,61.2
2024-04-02,1,37.0
2024-04-03,1,58.8
2024-04-04,1,46.3
2024-04-05,1,73.5
2024-04-06,1,50.0
2024-04-07,1,42.1
2024-04-08,1,51.6
2024-04-09,1,36.2
2024-04-10,1,48.3
2024-04-11,1,49.6
2024-04-12,1,65.5
2024-04-13,1,58.6
2024-04-14,1,35.7
2024-04-15,1,35.8
2024-04-16,1,38.2
2024-04-17,1,30.6
2024-04-18,1,30.9
2024-04-19,1,70.5
2024-04-20,1,48.1
2024-04-21,1,58.0
2024-04-22,1,41.2
2024-04-23,1,41.8
2024-04-24,1,33.0
2024-04-25,1,56.7
2024-04-26,1,52.6
2024-04-27,1,70.3
2024-04-28,1,42.2
2024-04-29,1,57.5
2024-04-30,1,56.7
2024-05-01,1,34.0
2024-05-02,1,50.9
2024-05-03,1,45.1
2024-05-04,1,43.4
2024-05-05,1,47.4
2024-05-06,1,54.8
2024-05-07,1,55.3
2024-05-08,1,41.1
2024-05-09,1,52.8
2024-05-10,1,56.1
2024-05-11,1,49.2
2024-05-12,1,38.3
2024-05-13,1,45.3
2024-05-14,1,69.6
2024-05-15,1,36.9
2024-05-16,1,43.0
2024-05-17,1,44.0
2024-05-18,1,66.8
2024-05-19,1,63.4
2024-05-20,1,55.8
2024-05-21,1,57.4
2024-05-22,1,41.5
2024-05-23,1,57.6
2024-05-24,1,41.0
2024-05-25,1,61.7
2024-05-26,1,54.3
2024-05-27,1,38.4
2024-05-28,1,52.1
2024-05-29,1,35.1
2024-05-30,1,32.3
2024-05-31,1,36.6
2024-06-01,1,37.1
2024-06-02,1,33.0
2024-06-03,1,41.0
2024-06-04,1,58.7
2024-06-05,1,41.3
2024-06-06,1,36.5
2024-06-07,1,51.5
2024-06-08,1,43.4
2024-06-09,1,40.8
2024-06-10,1,43.3
2024-06-11,1,47.1
2024-06-12,1,35.5
2024-06-13,1,40.1
2024-06-14,1,54.6
2024-06-15,1,44.6
2024-06-16,1,39.0
2024-06-17,1,43.0
2024-06-18,1,42.6
2024-06-19,1,37.6
2024-06-20,1,45.0
2024-06-21,1,45.4
2024-06-22,1,34.7
2024-06-23,1,42.5
2024-06-24,1,34.7
2024-06-25,1,64.0
2024-06-26,1,40.9
2024-06-27,1,37.3
2024-06-28,1,51.6
2024-06-29,1,58.2
2024-06-30,1,50.2
2024-07-01,1,40.8
2024-07-02,1,47.2
2024-07-03,1,44.7
2024-07-04,1,41.5
2024-07-05,1,32.9
2024-07-06,1,42.9
2024-07-07,1,20.0
2024-07-08,1,32.4
2024-07-09,1,49.2
2024-07-10,1,38.2
2024-07-11,1,36.9
2024-07-12,1,37.5
2024-07-13,1,35.0
2024-07-14,1,32.7
2024-07-15,1,28.2
2024-07-16,1,21.7
2024-07-17,1,43.5
2024-07-18,1,47.4
2024-07-19,1,37.6
2024-07-20,1,50.0
2024-07-21,1,28.8
2024-07-22,1,40.2
2024-07-23,1,25.6
2024-07-24,1,42.2
2024-07-25,1,34.7
2024-07-26,1,30.5
2024-07-27,1,44.5
2024-07-28,1,46.3
2024-07-29,1,36.5
2024-07-30,1,34.1
2024-07-31,1,35.6
2024-08-01,1,36.0
2024-08-02,1,49.1
2024-08-03,1,50.7
2024-08-04,1,22.0
2024-08-05,1,41.9
2024-08-06,1,33.4
2024-08-07,1,41.5
